Assay_Type,Name
Histology,TS22
Microarray,TS27
Histology,TS15-21
mRNA-Seq,TS28
Microarray,TS20
ISH,Fetal 15wk
NextGen,TS28
Histology,TS20
nanoCT,Fetal 15wk
Microarray,TS24
Metabolomics,
Microarray,TS21
Microarray,TS28
ISH,TS25
IHC,Fetal 11wk
ISH,
ISH,TS28
Microarray,TS19
scRNA-Seq,TS22
mRNA-Seq,TS17
IHC,CS23
ChIP-Seq,
ISH,TS27
IHC,Adult Human
NextGen,Fetal 18wk
TG,TS27
scRNA-Seq,TS28
Spatial Transcriptomics,
mRNA-Seq,
Histology,CS23
IHC,P110
Histology,CS14
IHC,Fetal 19wk
IHC,TS08
Histology,young intact dog
nanoCT,Fetal 17wk
ISH,TS19
IHC,TS23
TG,TS25
Histology,TS24
Histology,TS28
IHC,Old Intact Male
ISH,TS17
Histology,CS15
IHC,Fetal 9wk
scRNA-Seq,
IHC,Fetal 14wk
nanoCT,Fetal 13wk
IHC,TS28
Microarray,TS22
mRNA-Seq,TS26
Histology,TS19
ISH,TS21
nanoCT,CS19
IHC,P50
ISH,Fetal 16wk
Histology,Adult Human
IHC,TS24
NextGen,TS25
IHC,CS20
IHC,young intact dog
TG,TS26
ISH,TS22
ISH,Fetal 11wk
TG,TS22
Microarray,TS26
Microarray,TS18
NextGen,TS22
ISH,TS20
nanoCT,Fetal 12wk
mRNA-Seq,TS22
nanoCT,
TG,TS21
nanoCT,Fetal 10wk
TG,TS24
NextGen,Fetal 17wk
IHC,
IHC,TS21
nanoCT,CS22
Histology,CS22
Histology,CS16
Histology,CS13
IHC,Fetal 20wk
IHC,CS22
Histology,TS21
ISH,Fetal 13wk
IHC,Fetal 15wk
scRNA-Seq,Fetal 17wk
ISH,Fetal 12wk
nanoCT,Fetal 20wk
Histology,Old Intact Male
nanoCT,Fetal 9wk
IHC,Fetal 18wk
Histology,CS19
IHC,TS25
IHC,CS21
ISH,TS26
scRNA-Seq,TS26
Microarray,TS23
nanoCT,CS14
IHC,Fetal 16wk
NextGen,
IHC,Fetal 10wk
snRNA-Seq,
TG,TS23
mRNA-Seq,TS21
NextGen,TS27
IHC,TS27
nanoCT,Fetal 19wk
NextGen,TS26
ISH,Fetal 9wk
IHC,Fetal 13wk
IHC,TS22
TG,TS19
Histology,TS27
IHC,TS20
ATAC-Seq,
ISH,TS18
Enzyme Histochemistry,TS28
ISH,Fetal 17wk
IHC,Fetal 12wk
ISH,TS23
Imaging Mass Cytometry,Adult Human
ISH,Fetal 14wk
ISH,TS24
NextGen,TS20
TG,TS28
Histology,TS25
Histology,
scRNA-Seq,Fetal 18wk
Histology,TS23
NextGen,Fetal 16wk
IHC,p9
IHC,TS26
